batter,runs,balls,strike_rate,bowler,wickets,fantasy_score
A Badoni,215.0,145.0,148.27586206896552,A Badoni,0.0,75.99137931034483
A Kamboj,58.0,40.0,145.0,A Kamboj,24.0,228.25
A Mhatre,201.0,119.0,168.9075630252101,,0.0,75.58613445378151
A Nortje,0.0,1.0,0.0,A Nortje,0.0,0.0
A Raghuvanshi,422.0,302.0,139.73509933774835,,0.0,126.46026490066225
AA Kulkarni,17.0,25.0,68.0,,0.0,14.45
AF Milne,2.0,2.0,100.0,AF Milne,0.0,15.5
AJ Hosein,5.0,3.0,166.66666666666669,AJ Hosein,9.0,98.25
AK Markram,231.0,171.0,135.08771929824562,AK Markram,0.0,78.01315789473685
AM Ghazanfar,2.0,3.0,66.66666666666666,AM Ghazanfar,15.0,130.5
AM Rahane,335.0,258.0,129.84496124031008,,0.0,103.22674418604652
AR Patel,173.0,146.0,118.49315068493152,AR Patel,11.0,149.02397260273972
AS Roy,52.0,41.0,126.82926829268293,AS Roy,9.0,104.02439024390245
Abdul Samad,116.0,92.0,126.08695652173914,Abdul Samad,0.0,47.913043478260875
,0.0,0.0,0.0,Abhinandan Singh,3.0,24.0
Abhishek Sharma,563.0,304.0,185.19736842105263,Abhishek Sharma,0.0,168.5296052631579
Abishek Porel,108.0,94.0,114.89361702127661,,0.0,44.234042553191486
,0.0,0.0,0.0,Akash Singh,4.0,32.0
Akshat Raghuwanshi,29.0,27.0,107.40740740740742,,0.0,23.36111111111111
Aniket Verma,79.0,57.0,138.5964912280702,,0.0,40.53947368421053
Arjun Tendulkar,5.0,5.0,100.0,Arjun Tendulkar,1.0,24.25
Arshad Khan,23.0,12.0,191.66666666666669,Arshad Khan,8.0,98.5
Arshdeep Singh,1.0,1.0,100.0,Arshdeep Singh,14.0,127.25
Ashok Sharma,1.0,5.0,20.0,Ashok Sharma,6.0,51.25
Ashutosh Sharma,171.0,100.0,171.0,,0.0,68.4
Ashwani Kumar,1.0,6.0,16.666666666666664,Ashwani Kumar,6.0,50.75
