batter,runs,balls,strike_rate,bowler,wickets,fantasy_score
V Kohli,9346.0,7127.0,131.13511996632525,V Kohli,5.0,773.3502679949488
RG Sharma,7331.0,5659.0,129.54585615833184,RG Sharma,16.0,625.1118784237499
S Dhawan,6769.0,5483.0,123.45431333211745,S Dhawan,4.0,564.8381469998176
DA Warner,6567.0,4849.0,135.4299855640338,DA Warner,0.0,545.6744978346051
RA Jadeja,3526.0,2816.0,125.21306818181819,RA Jadeja,189.0,527.6619602272727
SK Raina,5536.0,4177.0,132.53531242518554,SK Raina,30.0,498.76029686377785
KL Rahul,5828.0,4302.0,135.47187354718736,,0.0,486.5607810320781
SR Watson,3880.0,2892.0,134.1632088520055,SR Watson,107.0,458.9244813278009
MS Dhoni,5439.0,4101.0,132.626188734455,,0.0,455.01392831016824
AM Rahane,5367.0,4391.0,122.22728307902528,AM Rahane,1.0,448.8940924618538
CH Gayle,4997.0,3516.0,142.1217292377702,CH Gayle,19.0,443.87825938566556
SP Narine,1820.0,1178.0,154.49915110356537,SP Narine,229.0,443.5748726655348
AB de Villiers,5181.0,3487.0,148.58044164037855,,0.0,436.7670662460568
SV Samson,5181.0,3770.0,137.42705570291778,,0.0,435.0940583554377
RV Uthappa,4954.0,3927.0,126.15227909345556,,0.0,415.2428418640183
KD Karthik,4843.0,3687.0,131.35340385136968,,0.0,407.14301057770547
F du Plessis,4773.0,3605.0,132.39944521497918,F du Plessis,0.0,401.69991678224693
AD Russell,2655.0,1626.0,163.28413284132841,AD Russell,133.0,396.49261992619927
JC Buttler,4647.0,3208.0,144.856608478803,,0.0,393.48849127182046
KA Pollard,3437.0,2447.0,140.45770331017573,KA Pollard,81.0,393.2286554965263
DJ Bravo,1560.0,1247.0,125.10024057738573,DJ Bravo,207.0,391.9650360866078
Shubman Gill,4598.0,3339.0,137.70589997005092,,0.0,388.49588499550765
SA Yadav,4581.0,3154.0,145.24413443246672,SA Yadav,0.0,388.26662016487
AT Rayudu,4348.0,3490.0,124.58452722063038,,0.0,366.5276790830946
AR Patel,2089.0,1635.0,127.76758409785933,AR Patel,148.0,363.8851376146789
HH Pandya,2964.0,2116.0,140.0756143667297,HH Pandya,88.0,363.73134215500943
SS Iyer,4233.0,3211.0,131.8280909374027,SS Iyer,0.0,358.4142136406104
