player,team
TM Head,Sunrisers Hyderabad
Abhishek Sharma,Sunrisers Hyderabad
AK Markram,Sunrisers Hyderabad
Nithish Kumar Reddy,Sunrisers Hyderabad
RA Tripathi,Sunrisers Hyderabad
H Klaasen,Sunrisers Hyderabad
Abdul Samad,Sunrisers Hyderabad
Shahbaz Ahmed,Sunrisers Hyderabad
PJ Cummins,Sunrisers Hyderabad
B Kumar,Sunrisers Hyderabad
JD Unadkat,Sunrisers Hyderabad
S Dhawan,Punjab Kings
JM Bairstow,Punjab Kings
P Simran Singh,Punjab Kings
SM Curran,Punjab Kings
Sikandar Raza,Punjab Kings
Shashank Singh,Punjab Kings
JM Sharma,Punjab Kings
Ashutosh Sharma,Punjab Kings
RD Gaikwad,Chennai Super Kings
DP Conway,Chennai Super Kings
AM Rahane,Chennai Super Kings
S Dube,Chennai Super Kings
RA Jadeja,Chennai Super Kings
MS Dhoni,Chennai Super Kings
N Jagadeesan,Kolkata Knight Riders
SP Narine,Kolkata Knight Riders
VR Iyer,Kolkata Knight Riders
N Rana,Kolkata Knight Riders
JJ Roy,Kolkata Knight Riders
RK Singh,Kolkata Knight Riders
AD Russell,Kolkata Knight Riders
D Wiese,Kolkata Knight Riders
UT Yadav,Kolkata Knight Riders
CV Varun,Kolkata Knight Riders
GC Smith,Rajasthan Royals
NV Ojha,Rajasthan Royals
SA Asnodkar,Rajasthan Royals
RA Jadeja,Rajasthan Royals
YK Pathan,Rajasthan Royals
LA Carseldine,Rajasthan Royals
AS Raut,Rajasthan Royals
SK Warne,Rajasthan Royals
SM Harwood,Rajasthan Royals
M Vijay,Chennai Super Kings
ML Hayden,Chennai Super Kings
SK Raina,Chennai Super Kings
S Badrinath,Chennai Super Kings
JDP Oram,Chennai Super Kings
RG Sharma,Mumbai Indians
Q de Kock,Mumbai Indians
SA Yadav,Mumbai Indians
SS Tiwary,Mumbai Indians
KA Pollard,Mumbai Indians
HH Pandya,Mumbai Indians
KH Pandya,Mumbai Indians
NM Coulter-Nile,Mumbai Indians
J Yadav,Mumbai Indians
JJ Bumrah,Mumbai Indians
PP Shaw,Delhi Capitals
S Dhawan,Delhi Capitals
SPD Smith,Delhi Capitals
RR Pant,Delhi Capitals
SS Iyer,Delhi Capitals
AR Patel,Delhi Capitals
SO Hetmyer,Delhi Capitals
R Ashwin,Delhi Capitals
LMP Simmons,Mumbai Indians
PA Patel,Mumbai Indians
AT Rayudu,Mumbai Indians
Harbhajan Singh,Mumbai Indians
J Suchith,Mumbai Indians
DR Smith,Chennai Super Kings
F du Plessis,Chennai Super Kings
MEK Hussey,Chennai Super Kings
DJ Bravo,Chennai Super Kings
P Negi,Chennai Super Kings
R Ashwin,Chennai Super Kings
MM Sharma,Chennai Super Kings
A Nehra,Chennai Super Kings
G Gambhir,Delhi Capitals
V Sehwag,Delhi Capitals
TM Dilshan,Delhi Capitals
MF Maharoof,Delhi Capitals
Shoaib Malik,Delhi Capitals
SE Marsh,Punjab Kings
JR Hopes,Punjab Kings
Yuvraj Singh,Punjab Kings
LA Pomersbach,Punjab Kings
DPMD Jayawardene,Punjab Kings
FY Fazal,Rajasthan Royals
R Dravid,Rajasthan Royals
AM Rahane,Rajasthan Royals
SR Watson,Rajasthan Royals
AL Menaria,Rajasthan Royals
PR Shah,Rajasthan Royals
JDP Oram,Rajasthan Royals
AA Chavan,Rajasthan Royals
SW Tait,Rajasthan Royals
ND Doshi,Rajasthan Royals
BB McCullum,Kochi Tuskers Kerala
DPMD Jayawardene,Kochi Tuskers Kerala
PA Patel,Kochi Tuskers Kerala
BJ Hodge,Kochi Tuskers Kerala
CH Gayle,Royal Challengers Bengaluru
TM Dilshan,Royal Challengers Bengaluru
V Kohli,Royal Challengers Bengaluru
UBT Chand,Delhi Capitals
DA Warner,Delhi Capitals
Y Venugopal Rao,Delhi Capitals
DPMD Jayawardene,Delhi Capitals
LRPL Taylor,Delhi Capitals
NV Ojha,Delhi Capitals
AD Russell,Delhi Capitals
IK Pathan,Delhi Capitals
P Negi,Delhi Capitals
UT Yadav,Delhi Capitals
CA Ingram,Delhi Capitals
KMA Paul,Delhi Capitals
R Tewatia,Delhi Capitals
Yuvraj Singh,Mumbai Indians
BCJ Cutting,Mumbai Indians
MJ McClenaghan,Mumbai Indians
Rasikh Salam,Mumbai Indians
KS Williamson,Sunrisers Hyderabad
